2026-05-24 20:50:49 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for GRASIM.NS: 57 → 42 (prob=0.14, adj=-15)
2026-05-24 20:50:51 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for TATACONSUM.NS: 60 → 45 (prob=0.12, adj=-15)
2026-05-24 20:50:54 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for INDIGO.NS: 57 → 42 (prob=0.26, adj=-15)
2026-05-24 20:50:56 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for BEL.NS: 70 → 55 (prob=0.22, adj=-15)
2026-05-24 20:50:58 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for NYKAA.NS: 90 → 75 (prob=0.25, adj=-15)
2026-05-24 20:50:59 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for POLICYBZR.NS: 60 → 45 (prob=0.12, adj=-15)
2026-05-24 20:51:00 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for TRENT.NS: 62 → 47 (prob=0.10, adj=-15)
2026-05-24 20:51:02 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for VBL.NS: 78 → 63 (prob=0.16, adj=-15)
2026-05-24 20:51:03 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for SIEMENS.NS: 75 → 60 (prob=0.15, adj=-15)
2026-05-24 20:51:05 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for POLYCAB.NS: 57 → 42 (prob=0.22, adj=-15)
2026-05-24 20:51:07 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for SRF.NS: 55 → 40 (prob=0.19, adj=-15)
2026-05-24 20:51:08 | stock_ai.ml | INFO     | predictor:151 | ML adjustment for DIXON.NS: 72 → 57 (prob=0.34, adj=-15)
2026-06-16 23:07:51 | stock_ai.ml | INFO     | trainer:159 | Prepared 460 samples from 1 tickers
2026-06-16 23:07:51 | stock_ai.ml | INFO     | trainer:160 |   Technical features: 23
2026-06-16 23:07:51 | stock_ai.ml | INFO     | trainer:161 |   Technical features: 23
2026-06-16 23:07:51 | stock_ai.ml | INFO     | trainer:162 |   News features: 3
2026-06-16 23:07:51 | stock_ai.ml | INFO     | trainer:163 |   Market features: 7
2026-06-16 23:07:51 | stock_ai.ml | INFO     | trainer:164 | Label distribution: {0: 335, 1: 125}
2026-06-16 23:08:25 | stock_ai.ml | INFO     | trainer:159 | Prepared 460 samples from 1 tickers
2026-06-16 23:08:25 | stock_ai.ml | INFO     | trainer:160 |   Technical features: 23
2026-06-16 23:08:25 | stock_ai.ml | INFO     | trainer:161 |   Technical features: 23
2026-06-16 23:08:25 | stock_ai.ml | INFO     | trainer:162 |   News features: 3
2026-06-16 23:08:25 | stock_ai.ml | INFO     | trainer:163 |   Market features: 7
2026-06-16 23:08:25 | stock_ai.ml | INFO     | trainer:164 | Label distribution: {0: 335, 1: 125}
